"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"Jorge González","738508319-3","jorgegonzález@correo.com","Viaje y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Responsabilidad Limitada","Traiguén","Amistad*Confianza*Equilibrio","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","521206771-0","luisgonzález@correo.com","Armonía y Satisfacción de Carencias Inaplazables","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Comanditaria","Collipulli","Valores*Inclusión*Propósito","ACCIÓN POR EL CLIMA*INDUSTRIA*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","866696018-5","michaelroudergue@correo.com","Cambio climático y Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Sociedad Anónima","Angol","Empatía*Voluntad*Perseverancia","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*VIDA SUBMARINA*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","408588627-2","luismena@correo.com","Viaje en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Local","Teodoro Schmidt","Resiliencia*Confianza*Generosidad","EDUCACIÓN DE CALIDAD*CIUDADES Y COMUNIDADES SOSTENIBLES*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","422126012-4","juanpérez@correo.com","Libertad y Afrontando Desafíos Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Transnacional","Lumaco","Vitalidad*Esperanza*Inclusión","HAMBRE CERO*FIN DE LA POBREZA*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","192646749-7","jorgegonzález@correo.com","Libertad y Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Pública","Angol","Innovación*Valores*Inclusión","CIUDADES Y COMUNIDADES SOSTENIBLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","951103383-5","michaelroudergue@correo.com","Salud como Solución a Necesidades Inmediatas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Sociedad Anónima","Loncoche","Equipo*Cambio climático*Paciencia","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*INDUSTRIA*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","378998335-7","luismena@correo.com","Armonía y Soluciones para Situaciones Inmediatas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Tecnológica","Perquenco","Generosidad*Paz*Sabiduría","FIN DE LA POBREZA*VIDA SUBMARINA*VIDA DE ECOSISTEMAS TERRESTRES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","583792799-2","diegomartínez@correo.com","Armonía y Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Cooperativa","Los Sauces","Autoamor*Cambio social*Dedicación","FIN DE LA POBREZA*HAMBRE CERO*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","480936184-6","gabrielgutierrez@correo.com","Viaje en Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Transnacional","Saavedra","Desarrollo*Perseverancia*Familia","VIDA DE ECOSISTEMAS TERRESTRES*SALUD Y BIENESTAR*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","245139397-4","diegomartínez@correo.com","Exploración en Cobertura de Demandas Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Regional","Temuco","Confianza*Perdón*Desarrollo","ACCIÓN POR EL CLIMA*CIUDADES Y COMUNIDADES SOSTENIBLES*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","490077870-6","gabrielgutierrez@correo.com","Libertad y Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Responsabilidad Limitada","Lautaro","Perdón*Belleza*Agradecimiento","PAZ*SALUD Y BIENESTAR*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","565992549-7","gabrielgutierrez@correo.com","Trabajo en Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Cooperativa","Traiguén","Colaboración*Agradecimiento*Voluntad","ALIANZAS PARA LOGRAR LOS OBJETIVOS*REDUCCIÓN DE LAS DESIGUALDADES*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","764541714-4","luisgonzález@correo.com","Cambio climático y Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Educativa","Teodoro Schmidt","Perseverancia*Exploración*Sinceridad","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*EDUCACIÓN DE CALIDAD*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","537640537-6","andrésmartínez@correo.com","Libertad y Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Multinacional","Nueva Imperial","Agradecimiento*Libertad*Alegría","ACCIÓN POR EL CLIMA*EDUCACIÓN DE CALIDAD*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","676732440-5","analópez@correo.com","Reflejo de la Innovación en Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Pública","Victoria","Resiliencia*Paz*Tolerancia","HAMBRE CERO*ALIANZAS PARA LOGRAR LOS OBJETIVOS*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","364437794-3","sofíarodríguez@correo.com","Armonía y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Pública","Galvarino","Oportunidad*Autocontrol*Curiosidad","PAZ*INDUSTRIA*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","369008900-5","diegohernández@correo.com","Exploración para Superando Desafíos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Educativa","Nueva Imperial","Belleza*Compartir*Ética","CIUDADES Y COMUNIDADES SOSTENIBLES*FIN DE LA POBREZA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","134702508-5","jorgegonzález@correo.com","Armonía y Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Sin Fines de Lucro","Ercilla","Motivación*Autenticidad*Autoconciencia","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*CIUDADES Y COMUNIDADES SOSTENIBLES*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","18997346-4","michaelroudergue@correo.com","Armonía y Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Comanditaria","Lumaco","Autoestima*Serenidad*Compartir","VIDA DE ECOSISTEMAS TERRESTRES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","378920357-9","andrésmartínez@correo.com","Cultura en Satisfacción de Carencias Inaplazables","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Sociedad Anónima","Victoria","Curiosidad*Aprendizaje*Autoamor","IGUALDAD DE GÉNERO*VIDA SUBMARINA*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","217414808-9","diegomartínez@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Religiosa","Lautaro","Empoderamiento*Oportunidad*Abundancia","PAZ*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","105768489-6","maríagarcía@correo.com","Cultura en Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Local","Purén","Aprendizaje*Innovación*Colaboración","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*INDUSTRIA*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","981996956-6","diegomartínez@correo.com","Innovación para la Atención de Demandas Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Regional","Carahue","Gratitud*Optimismo*Confianza","AGUA Y SANEAMIENTO*EDUCACIÓN DE CALIDAD*VIDA DE ECOSISTEMAS TERRESTRES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","570970460-2","maríagarcía@correo.com","Trabajo en Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Sin Fines de Lucro","Curarrehue","Éxito*Libertad*Tecnología","EDUCACIÓN DE CALIDAD*INDUSTRIA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
